id,x,y,z
50,-75.82929229736328,152.56674194335938,-7.502042770385742
50,-72.7352066040039,147.62977600097656,-7.353613376617432
50,-72.7767105102539,144.144287109375,-7.36013650894165
50,-72.9515151977539,143.05087280273438,-7.371207237243652
50,-77.72431945800781,139.8104705810547,-7.5268635749816895
50,-112.05647277832031,117.24125671386719,-8.586371421813965
50,-112.92131805419922,117.24164581298828,-8.666701316833496
50,-115.46142578125,118.05885314941406,-8.618989944458008
50,-117.5974349975586,121.70262145996094,-8.511518478393555
51,-63.77529525756836,130.25576782226562,-6.040506362915039
51,-66.26862335205078,133.82505798339844,-6.418296813964844
51,-67.70874786376953,134.57708740234375,-6.595551490783691
51,-69.28424072265625,134.5870361328125,-6.841916084289551
51,-71.3912353515625,133.739013671875,-7.023983955383301
51,-78.04893493652344,129.36148071289062,-7.0280914306640625
51,-93.36602020263672,119.27336120605469,-7.570302963256836
51,-111.85293579101562,107.06869506835938,-8.232232093811035
51,-117.2269515991211,103.60676574707031,-8.46535873413086
51,-122.16182708740234,100.9272689819336,-8.72654914855957
51,-128.22853088378906,97.98428344726562,-9.031414985656738
51,-130.5112762451172,97.17091369628906,-9.075124740600586
51,-131.38589477539062,96.28657531738281,-9.078927993774414
51,-131.83102416992188,94.49378967285156,-8.993597030639648
51,-131.9702911376953,91.457763671875,-8.832860946655273
51,-129.77175903320312,87.91410064697266,-8.496604919433594
52,-125.80269622802734,118.14117431640625,-8.600520133972168
52,-123.56423950195312,112.9549560546875,-8.970010757446289
52,-123.88063049316406,110.56434631347656,-9.185250282287598
52,-125.062744140625,108.75348663330078,-9.253267288208008
52,-131.239990234375,105.21021270751953,-9.486506462097168
52,-142.716552734375,105.62903594970703,-10.394599914550781
52,-142.68637084960938,107.16657257080078,-10.308696746826172
53,-222.83969116210938,-76.49928283691406,-13.553757667541504
53,-222.02133178710938,-76.41557312011719,-13.516783714294434
53,-220.11788940429688,-75.32489013671875,-13.482030868530273
53,-180.5114288330078,-52.07756042480469,-12.444232940673828
53,-174.99459838867188,-48.70045471191406,-12.279264450073242
53,-168.96041870117188,-45.5905876159668,-12.122917175292969
53,-161.71580505371094,-43.42796325683594,-11.880210876464844
53,-150.7367706298828,-41.80879592895508,-11.484841346740723
53,-143.74049377441406,-42.08091354370117,-11.226726531982422
53,-136.25205993652344,-43.465065002441406,-10.94526481628418
53,-127.58982849121094,-46.328651428222656,-10.5157470703125
53,-120.5099868774414,-49.951438903808594,-10.216424942016602
53,-112.4551773071289,-55.89778137207031,-9.783344268798828
53,-106.43634796142578,-62.36748504638672,-9.426573753356934
53,-99.72720336914062,-72.60157775878906,-9.036224365234375
53,-97.10721588134766,-78.92172241210938,-8.893289566040039
53,-93.1165771484375,-84.48023223876953,-8.738385200500488
53,-87.55443572998047,-89.41658020019531,-8.545099258422852
53,-79.01261138916016,-93.03082275390625,-8.427318572998047
53,-68.63147735595703,-96.2556381225586,-8.341808319091797
53,-64.32217407226562,-96.49047088623047,-8.332235336303711
53,-61.236629486083984,-95.72230529785156,-8.431926727294922
53,-31.7894287109375,-77.28726959228516,-9.660324096679688
53,-23.7662410736084,-72.73841857910156,-9.424793243408203
53,-10.97787094116211,-61.498531341552734,-8.192952156066895
54,-218.38555908203125,-87.48748016357422,-13.004313468933105
54,-218.30862426757812,-85.72954559326172,-13.04314136505127
54,-217.48065185546875,-83.81646728515625,-12.989913940429688
54,-216.9788360595703,-82.76728057861328,-13.092612266540527
54,-211.94821166992188,-79.81173706054688,-12.961919784545898
54,-174.66580200195312,-57.62705993652344,-12.006837844848633
54,-170.27545166015625,-55.239952087402344,-11.847919464111328
54,-165.53607177734375,-52.995243072509766,-11.655784606933594
54,-160.21302795410156,-51.449764251708984,-11.453104972839355
54,-153.30421447753906,-50.29364013671875,-11.225838661193848
54,-145.42239379882812,-50.194950103759766,-10.924112319946289
54,-139.4234161376953,-51.04472351074219,-10.688332557678223
54,-134.840576171875,-52.20787811279297,-10.482719421386719
54,-129.96888732910156,-53.94636917114258,-10.268561363220215
